epoch,link_name,tx,rx,drop
1,US38->CS22,0,0,0
1,US38->CS30,0,0,0
1,US38->CS38,0,0,0
1,US38->CS46,0,0,0
1,US38->CS54,0,0,0
1,US38->CS62,0,0,0
1,US39->CS7,0,0,0
1,US39->CS15,0,0,0
1,US39->CS23,0,0,0
1,US39->CS31,0,0,0
1,US39->CS39,0,0,0
1,US39->CS47,0,0,0
1,US39->CS55,0,0,0
1,US39->CS63,0,0,0
1,US40->CS0,0,0,0
1,US40->CS8,0,0,0
1,US40->CS16,0,0,0
1,US40->CS24,0,0,0
1,US40->CS32,0,0,0
1,US40->CS40,0,0,0
1,US40->CS48,0,0,0
1,US40->CS56,0,0,0
1,US41->CS1,0,0,0
1,US41->CS9,0,0,0
1,US41->CS17,0,0,0
1,US41->CS25,0,0,0
1,US41->CS33,0,0,0
1,US41->CS41,0,0,0
1,US41->CS49,0,0,0
1,US41->CS57,0,0,0
1,US42->CS2,0,0,0
1,US42->CS10,0,0,0
1,US42->CS18,0,0,0
1,US42->CS26,0,0,0
1,US42->CS34,0,0,0
1,US42->CS42,0,0,0
1,US42->CS50,0,0,0
1,US42->CS58,0,0,0
1,US43->CS3,0,0,0
1,US43->CS11,0,0,0
1,US43->CS19,0,0,0
1,US43->CS27,0,0,0
1,US43->CS35,0,0,0
1,US43->CS43,0,0,0
1,US43->CS51,0,0,0
1,US43->CS59,0,0,0
1,US44->CS4,0,0,0
1,US44->CS12,0,0,0
1,US44->CS20,0,0,0
1,US44->CS28,0,0,0
1,US44->CS36,0,0,0
1,US44->CS44,0,0,0
1,US44->CS52,0,0,0
1,US44->CS60,0,0,0
1,US45->CS5,0,0,0
1,US45->CS13,0,0,0
1,US45->CS21,0,0,0
1,US45->CS29,0,0,0
1,US45->CS37,0,0,0
1,US45->CS45,0,0,0
1,US45->CS53,0,0,0
1,US45->CS61,0,0,0
1,US46->CS6,0,0,0
1,US46->CS14,0,0,0
1,US46->CS22,0,0,0
1,US46->CS30,0,0,0
1,US46->CS38,0,0,0
1,US46->CS46,0,0,0
1,US46->CS54,0,0,0
1,US46->CS62,0,0,0
1,US47->CS7,0,0,0
1,US47->CS15,0,0,0
1,US47->CS23,0,0,0
1,US47->CS31,0,0,0
1,US47->CS39,0,0,0
1,US47->CS47,0,0,0
1,US47->CS55,0,0,0
1,US47->CS63,0,0,0
1,US48->CS0,27386,27386,0
1,US48->CS8,27673,27673,0
1,US48->CS16,27585,27584,0
1,US48->CS24,27412,27412,0
1,US48->CS32,27567,27567,0
1,US48->CS40,27493,27493,0
1,US48->CS48,27786,27785,0
1,US48->CS56,27589,27589,0
1,US49->CS1,27478,27478,0
1,US49->CS9,27473,27472,0
1,US49->CS17,28036,28036,0
1,US49->CS25,27705,27705,0
1,US49->CS33,27338,27338,0
1,US49->CS41,27259,27259,0
1,US49->CS49,27741,27741,0
1,US49->CS57,27190,27190,0
1,US50->CS2,27109,27109,0
1,US50->CS10,27625,27625,0
1,US50->CS18,27588,27588,0
1,US50->CS26,27315,27315,0
1,US50->CS34,27769,27769,0
1,US50->CS42,27633,27633,0
1,US50->CS50,27844,27844,0
1,US50->CS58,27524,27523,0
1,US51->CS3,27394,27394,0
1,US51->CS11,27464,27464,0
1,US51->CS19,27800,27800,0
1,US51->CS27,27439,27439,0
1,US51->CS35,27598,27598,0
1,US51->CS43,27434,27434,0
1,US51->CS51,27621,27621,0
1,US51->CS59,27303,27303,0
1,US52->CS4,27372,27372,0
1,US52->CS12,27717,27717,0
1,US52->CS20,27404,27404,0
1,US52->CS28,27527,27527,0
1,US52->CS36,27385,27385,0
1,US52->CS44,27673,27673,0
1,US52->CS52,27499,27499,0
1,US52->CS60,27699,27699,0
1,US53->CS5,27384,27384,0
1,US53->CS13,27475,27475,0
1,US53->CS21,27641,27640,0
1,US53->CS29,27897,27897,0
1,US53->CS37,27550,27550,0
1,US53->CS45,27596,27596,0
1,US53->CS53,27523,27523,0
1,US53->CS61,27480,27480,0
1,US54->CS6,27430,27428,0
