srcNode_dstNode_flowId,flowSizeBytes,startTimeNs,endTimeNs,fctNs,baseRttNs,targetRttNs,rtoNs,bdpBytes,maxCwndBytes,oooCount,oooAvgDistance,oooMaxDistance,totalPackets
0_126_47,2000000,0.000000,203139.840000,203139.840000,13782.400000,10497.600000,99541.440000,172280,258420,384,17.283854,59,497
0_80_60,2000000,0.000000,203139.840000,203139.840000,13245.440000,10497.600000,99541.440000,165568,248352,381,14.052493,41,497
0_51_6,2000000,0.000000,203390.720000,203390.720000,13996.800000,10497.600000,99541.440000,174960,262440,364,17.109890,44,497
0_122_103,2000000,0.000000,203769.600000,203769.600000,13996.800000,10497.600000,99541.440000,174960,262440,368,19.491848,49,497
0_15_108,2000000,0.000000,204122.880000,204122.880000,13996.800000,10497.600000,99541.440000,174960,262440,419,25.494033,62,497
169873808_108_28,2000000,0.000000,204476.160000,204476.160000,13552.640000,10497.600000,99541.440000,169408,254112,431,26.018561,67,497
0_8_126,2000000,0.000000,204732.160000,204732.160000,13880.320000,10497.600000,99541.440000,173504,260256,378,21.082011,53,497
0_18_79,2000000,0.000000,204885.760000,204885.760000,13996.800000,10497.600000,99541.440000,174960,262440,396,18.512626,47,497
0_28_87,2000000,0.000000,205356.800000,205356.800000,13996.800000,10497.600000,99541.440000,174960,262440,421,20.603325,54,497
0_44_67,2000000,0.000000,205372.160000,205372.160000,13996.800000,10497.600000,99541.440000,174960,262440,401,18.897756,51,497
0_95_56,2000000,0.000000,205638.400000,205638.400000,12597.120000,10497.600000,99541.440000,157464,236196,379,28.261214,76,497
0_16_111,2000000,0.000000,206196.480000,206196.480000,13996.800000,10497.600000,99541.440000,174960,262440,389,16.071979,48,497
0_106_35,2000000,0.000000,207824.000000,207824.000000,13029.120000,10497.600000,99541.440000,162864,244296,402,24.529851,66,497
0_5_61,2000000,0.000000,207932.160000,207932.160000,12722.560000,10497.600000,99541.440000,159032,238548,326,28.190184,59,497
0_17_19,2000000,0.000000,210128.640000,210128.640000,13996.800000,10497.600000,99541.440000,174960,262440,412,26.512136,63,497
0_111_20,2000000,0.000000,211797.760000,211797.760000,13996.800000,10497.600000,99541.440000,174960,262440,387,22.922481,60,497
0_19_93,2000000,0.000000,215714.560000,215714.560000,13547.520000,10497.600000,99541.440000,169344,254016,385,27.698701,64,497
